Continent,ISO_code,Cname,MCV1_percent_coverage,overall_vaccine_confidence_percent,climate_risk_index,HDI_index_value,percent_refugee_origin_population,measles_incidence_rate_per_100_000,peace_index_score
Europe,NOR,Norway,0.040000000000000036,0.22999999999999998,0.28971962616822433,0.050000000000000044,8.306148915744127e-6,6.852026677223863e-5,0.13873473917869034
North America,PAN,Panama,0.020000000000000018,0.18000000000000005,0.39093457943925236,0.20999999999999996,0,0,0.26785053644099144
Asia,PAK,Pakistan,0.24,0.17000000000000004,0.6806542056074767,0.43999999999999995,6e-4,0.07646861771781831,0.7203107658157601
Asia,LAO,Lao People's Democratic Republic,0.28,0.10000000000000009,0.5700934579439252,0.4,0.001,0.14122244506414802,0.2549019607843137
Asia,LKA,Sri Lanka,0.010000000000000009,0.20000000000000007,1,0.22999999999999998,0.0054,0.10036043835568761,0.3359230484646689
Europe,LTU,Lithuania,0.06000000000000005,0.56,0,0.14,0,1.218138075950909e-4,0.22974472807991117
Africa,MAR,Morocco,0.010000000000000009,0.2400000000000001,0,0.32999999999999996,1e-4,0.0683277574513071,0.33037365889752124
Africa,MOZ,Mozambique,0.15000000000000002,0.12,0.7320560747663551,0.56,0,0.11650294310860136,0.3337032926378098
Asia,MYS,Malaysia,0.06999999999999995,0.1200000000000001,0.5857009345794393,0.19999999999999996,0,0.19776580425391216,0.19459859415464298
Africa,MWI,Malawi,0.17000000000000004,0.12,0.5186915887850467,0.52,0,0.30152180249631294,0.26415094339622636
Africa,NER,Niger,0.18000000000000005,0.19999999999999996,0.8364485981308412,0.65,1e-4,0.20828964713150233,0.4557898631150573
Africa,NGA,Nigeria,0.35,0.14000000000000012,0.383177570093458,0.47,0.0013,0.43030618770637646,0.6429892711801702
Europe,NLD,Netherlands,0.06999999999999995,0.5,0.24766355140186913,0.06999999999999995,0,1.5444250605806166e-4,0.1531631520532741
Asia,PHL,Philippines,0.27,0.35,0.7741121495327102,0.30000000000000004,0,0.2300355870337903,0.534221235664077
South America,PRY,Paraguay,0.07999999999999996,0.29999999999999993,0.44859813084112155,0.30000000000000004,0,0,0.31446540880503143
Europe,ROU,Romania,0.14,0.48,0.48289719626168226,0.18999999999999995,1e-4,0.07973801330380798,0.18091009988901222
Europe,RUS,Russian Federation,0.020000000000000018,0.8,0.4392523364485982,0.18000000000000005,4e-4,6.797645513118911e-4,0.7162412134665187
Africa,SEN,Senegal,0.09999999999999998,0.42000000000000004,0.049813084112149464,0.5,0.0017000000000000001,0.09704101209872139,0.3026267110617832
Europe,SRB,Serbia,0.14,0.43000000000000005,0.6853271028037383,0.20999999999999996,0.005,0.013043866022213618,0.2874583795782463
Europe,SVK,Slovakia,0.040000000000000036,0.32999999999999985,0.4797196261682243,0.14,2e-4,0.007370759639294611,0.18497965223825377
Europe,SVN,Slovenia,0.06999999999999995,0.43000000000000005,0.32084112149532706,0.09999999999999998,0,6.362596200279301e-4,0.09359970403255645
Asia,THA,Thailand,0.010000000000000009,0.09999999999999998,0.9314953271028037,0.24,0,0.08452246812176159,0.43470218275989636
Europe,POL,Poland,0.06000000000000005,0.27,0.7305607476635514,0.14,0,0.0011115509943052046,0.20902700702922675
Africa,SDN,Sudan,0.09999999999999998,0.20776328539786867,0.4953271028037384,0.5,0.017,0.02578210990215741,0.777654458009619
Africa,SLE,Sierra Leone,0.19999999999999996,0.1100000000000001,0.9376635514018692,0.5800000000000001,6e-4,0.05923413918967715,0.2401035886052534
Africa,TGO,Togo,0.08999999999999997,0.74,0.09345794392523366,0.5,0.0011,0.20759356823095898,0.30632630410654826
Africa,UGA,Uganda,0.20999999999999996,0.21999999999999997,0.3473831775700935,0.48,2e-4,0.2624652504361369,0.39622641509433953
Europe,UKR,Ukraine,0.14,0.86,0.16196261682242985,0.25,0.0031,0.01729538543193871,0.7669256381798003
South America,URY,Uruguay,0.040000000000000036,0.3799999999999999,0,0.19999999999999996,0,0,0.22123566407695155
Australia,PNG,Papua New Guinea,0.38,0.42507116621354984,0.3535514018691589,0.45999999999999996,0,0.3515992412739984,0.3640399556048835
Europe,PRT,Portugal,0.020000000000000018,0.25,0.9221495327102804,0.15000000000000002,0,6.634502020804057e-4,0.05438401775804662
Asia,SAU,Saudi Arabia,0.040000000000000036,0.18000000000000005,0.33018691588785043,0.15000000000000002,0,0.1780732971082272,0.5042545320014798
North America,SLV,El Salvador,0.15000000000000002,0.32999999999999996,0.30682242990654207,0.32999999999999996,0.004,0,0.4173140954495005
Europe,SWE,Sweden,0.030000000000000027,0.43000000000000005,0.07317757009345793,0.06999999999999995,0,5.818784559229788e-4,0.14983351831298555
Africa,TCD,Chad,0.63,0.29000000000000004,0,0.6,0.0011,0.24950621902992703,0.5120236773954865
North America,TTO,Trinidad and Tobago,0.06999999999999995,0.3255748348972669,0.29439252336448596,0.21999999999999997,2e-4,0,0.3640399556048835
Africa,TUN,Tunisia,0.020000000000000018,0.28,0.3146728971962617,0.26,2e-4,0.11932858839549464,0.3203847576766556
Asia,TJK,Tajikistan,0.020000000000000018,0.10000000000000009,0.2585981308411215,0.35,2e-4,0.004842098851904863,0.42619311875693666
Africa,TZA,United Republic of Tanzania,0.010000000000000009,0.07000000000000006,0.32084112149532706,0.45999999999999996,0,0.09023249035278148,0.28301886792452824
Asia,UZB,Uzbekistan,0.010000000000000009,0.10000000000000009,0,0.29000000000000004,1e-4,2.7190582052475647e-5,0.37772844987051424
Asia,QAT,Qatar,0.010000000000000009,0.4339614015540826,0,0.14,0,0.06755989541414519,0.20458749537550866
Africa,RWA,Rwanda,0.030000000000000027,0.08000000000000007,0.3427102803738318,0.48,0.0216,0.05591253768614673,0.4128745837957824
Asia,SGP,Singapore,0.050000000000000044,0.27,0,0.06999999999999995,0,0.003119303573060006,0.1564927857935627
Asia,TKM,Turkmenistan,0.010000000000000009,0.19000000000000006,0.851514210539245,0.29000000000000004,1e-4,2.610295877037662e-5,0.42878283388827226
Asia,TLS,Timor-Leste,0.22999999999999998,0.5636044503099754,0,0.38,0,0.04631426222162282,0.2793192748797632
Asia,TUR,Turkey,0.040000000000000036,0.2300000000000001,0.4376635514018692,0.20999999999999996,8e-4,0.2837707029091748,0.6163522012578616
North America,USA,United States of America,0.07999999999999996,0.39,0.898785046728972,0.07999999999999996,0,7.178313661853571e-5,0.41472438031816505
South America,VEN,Venezuela (Bolivarian Republic of),0.040000000000000036,0.10999999999999999,0.08570093457943928,0.24,3e-4,0,0.5701072881982981
Africa,ZAF,South Africa,0.30000000000000004,0.2699999999999999,0.7507476635514019,0.30000000000000004,0,0.1697247007948351,0.44876063633000357
Asia,VNM,Viet Nam,0.030000000000000027,0.37,0.9579439252336449,0.31000000000000005,0.0034999999999999996,0.027906238172096802,0.2989271180170181
Africa,ZWE,Zimbabwe,0.09999999999999998,0.19000000000000006,0.5529906542056076,0.45999999999999996,0.0012,0.06801017145293418,0.4591194968553458
Asia,YEM,Yemen,0.35,0.19000000000000006,0.4657009345794393,0.55,8e-4,0.03774922887509299,0.8512763596004439
Africa,ZMB,Zambia,0.040000000000000036,0.30000000000000004,0,0.41000000000000003,0,0.012399993039210994,0.24972253052164262
