Continent,ISO_code,Cname,Year,MCV1_percent_coverage,gain_index_value,urban_percent,measles_incidence_rate_per_100_000,HDI_index_value,percent_refugee_origin_population,percent_dis_conflict_population,percent_dis_disaster_population,climate_risk_index,overall_vaccine_confidence_percent,peace_index_score
Africa,LBR,Liberia,2017,87,32.38,50.697,6839.41,0.44,0.13,NA,0.02,82.17,0.9299999999999999,2.023
Europe,MDA,Republic of Moldova,2017,93,50.46,42.557,0.25,0.7,0.07,NA,NA,116,NA,1.938
Africa,MDG,Madagascar,2017,60,32.89,36.522,3857.89,0.52,0,NA,0.97,15,0.74,1.797
Europe,MKD,Republic of North Macedonia,2017,83,55.08,57.748,13.08,NA,0.08,NA,NA,86.67,NA,2.133
Europe,MNE,Montenegro,2017,58,53.84,66.477,0.89,0.81,0.11,NA,0,116,0.32,1.95
Africa,MRT,Mauritania,2017,78,36.03,52.824,324.99,0.52,0.85,NA,0.07,74.33,0.65,2.355
Africa,MUS,Mauritius,2017,89,55.61,40.841,2023.27,0.79,0.01,NA,0.01,116,0.45999999999999996,1.547
North America,NIC,Nicaragua,2017,99,42.55,58.299,0,0.66,0.02,NA,0.31,36,0.9,2.002
Asia,NPL,Nepal,2017,90,39.89,19.336,627.9,0.57,0.03,0,1.39,10.5,0.8899999999999999,2.08
South America,PER,Peru,2017,83,50.8,77.72,0,0.75,0.01,NA,0.94,10.67,0.53,1.986
Asia,OMN,Oman,2017,99,54.73,83.56,980.76,0.82,0,NA,0.01,84.67,NA,1.983
Asia,KWT,Kuwait,2017,99,50.32,100,1144.4,0.8,0.03,NA,NA,116,0.82,1.909
Asia,KGZ,Kyrgyzstan,2017,95,50.09,36.135,0.52,0.67,0.04,NA,0.05,57.17,0.5900000000000001,2.216
Asia,LBN,Lebanon,2017,82,45.17,88.429,688.91,0.76,0.08,0,NA,116,0.81,2.782
Africa,LBY,Libya,2017,94,40.8,79.817,3382.82,0.71,0.17,0.44,NA,116,0.65,3.328
Africa,LSO,Lesotho,2017,90,40.08,27.73,1155.24,0.52,0,NA,NA,116,NA,2.066
Africa,MLI,Mali,2017,67,33.58,41.572,1720.81,0.43,0.81,0.19,0.04,116,0.48999999999999994,2.596
Asia,MMR,Myanmar,2017,83,34.76,30.322,567.13,0.58,2.17,0.11,0.66,68.33,0.87,2.179
Asia,MNG,Mongolia,2017,99,52.73,68.363,0.23,0.74,0.07,NA,NA,102,0.58,1.801
Africa,"NAM",Namibia,2017,80,45.9,49.005,12.54,0.65,0.06,NA,0.14,116,0.72,1.838
Australia,NRU,Nauru,2017,95,NA,100,NA,NA,NA,NA,NA,NA,NA,NA
Australia,NZL,New Zealand,2017,93,73.49,86.466,3.99,0.92,0,NA,0.13,68.67,0.62,1.241
Asia,KHM,Cambodia,2017,84,39.28,22.98,527.8,0.58,0.08,NA,0.09,100.67,0.7999999999999999,2.065
Europe,LUX,Luxembourg,2017,99,68.74,90.727,9.5,0.9,NA,NA,NA,116,0.58,NA
Europe,LVA,Latvia,2017,96,60.79,68.075,0.27,0.85,0.01,NA,NA,34.5,0.28,1.67
Asia,MDV,Maldives,2017,99,40.46,39.38,592.79,0.72,0.01,NA,0.02,116,NA,NA
North America,MEX,Mexico,2017,76,50.67,79.867,0,0.77,0.01,0.02,0.16,64.67,0.8200000000000001,2.646
Europe,MLT,Malta,2017,91,56.92,94.546,0.59,0.88,NA,NA,NA,116,0.72,NA
Australia,NIU,Niue,2017,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,NOR,Norway,2017,96,76.05,81.871,0.63,0.95,NA,NA,0,85,0.77,1.486
North America,PAN,Panama,2017,98,50.81,67.365,0,0.79,0,NA,0.01,74.17,0.82,1.835
Asia,PAK,Pakistan,2017,76,38.96,36.442,703.08,0.56,0.06,0.04,0,43.17,0.83,3.058
Asia,LAO,Lao People's Democratic Republic,2017,72,39.4,34.368,1298.45,0.6,0.1,NA,0,55,0.8999999999999999,1.8
Australia,KIR,Kiribati,2017,81,NA,53.262,7747.65,0.61,NA,NA,NA,116,NA,NA
North America,KNA,Saint Kitts and Nevis,2017,93,53.63,30.773,NA,0.78,0.09,NA,0.06,64,NA,NA
North America,LCA,Saint Lucia,2017,87,53.13,18.612,0,0.75,0.55,NA,NA,116,NA,NA
Asia,LKA,Sri Lanka,2017,99,46.28,18.384,922.75,0.77,0.54,NA,0.63,9,0.7999999999999999,2.019
Europe,LTU,Lithuania,2017,94,61.08,67.516,1.12,0.86,0,NA,NA,116,0.44,1.732
Africa,MAR,Morocco,2017,99,50.81,61.908,628.23,0.67,0.01,NA,NA,116,0.7599999999999999,2.004
Australia,MHL,Marshall Islands,2017,83,NA,76.634,7442.93,0.71,0.01,NA,NA,116,NA,NA
Africa,MOZ,Mozambique,2017,85,35.39,35.455,1071.17,0.44,0,0,0.59,37.67,0.88,2.013
Asia,MYS,Malaysia,2017,93,57.29,75.447,1818.33,0.8,0,NA,0.26,53.33,0.8799999999999999,1.637
Africa,MWI,Malawi,2017,83,35.69,16.714,2772.3,0.48,0,NA,0.48,60.5,0.88,1.825
Africa,NER,Niger,2017,82,30.95,16.35,1915.09,0.35,0.01,0.19,0.87,26.5,0.8,2.343
Africa,NGA,Nigeria,2017,65,37.64,49.519,3956.39,0.53,0.13,0.15,0.06,75,0.8599999999999999,2.849
Europe,NLD,Netherlands,2017,93,66.47,91.077,1.42,0.93,0,NA,NA,89.5,0.49999999999999994,1.525
Asia,PHL,Philippines,2017,73,43.15,46.682,2115.03,0.7,0,0.61,2.4,33.17,0.65,2.555
South America,PRY,Paraguay,2017,92,47.55,61.3,0,0.7,0,NA,0.08,68,0.7000000000000001,1.961
Europe,ROU,Romania,2017,86,52.8,53.936,733.14,0.81,0.01,NA,NA,64.33,0.52,1.6
Europe,RUS,Russian Federation,2017,98,58.89,74.292,6.25,0.82,0.04,NA,0,69,0.2,3.047
Africa,SEN,Senegal,2017,90,39.86,46.74,892.23,0.5,0.17,NA,0,110.67,0.58,1.929
Europe,SRB,Serbia,2017,86,51.35,55.942,119.93,0.79,0.5,NA,0,42.67,0.57,1.888
Europe,SMR,San Marino,2017,86,NA,97.072,NA,NA,NA,NA,NA,NA,NA,NA
South America,SUR,Suriname,2017,97,45.04,66.041,0,0.72,0,NA,1.05,116,NA,NA
Europe,SVK,Slovakia,2017,96,58.11,53.751,NA,0.86,0.02,NA,NA,64.67,0.6700000000000002,1.611
Europe,SVN,Slovenia,2017,93,65.47,54.273,5.85,0.9,0,NA,NA,81.67,0.57,1.364
Asia,THA,Thailand,2017,99,53.42,49.2,777.13,0.76,0,NA,0.07,16.33,0.9,2.286
Australia,TON,Tonga,2017,85,41.17,23.169,4426.05,0.73,0.03,NA,NA,116,NA,NA
North America,VCT,Saint Vincent and the Grenadines,2017,99,55.81,51.784,0,0.72,1.18,NA,0.02,116,NA,NA
Europe,POL,Poland,2017,94,63.12,60.105,10.22,0.86,0,NA,NA,37.83,0.73,1.676
Australia,PLW,Palau,2017,93,NA,79.365,NA,0.8,NA,NA,NA,NA,NA,NA
Africa,SDN,Sudan,2017,90,30.42,34.37,237.05,0.5,1.7,0.04,0.13,63,NA,3.213
Africa,SLE,Sierra Leone,2017,80,37.78,41.636,544.62,0.42,0.06,NA,0.16,15.67,0.8899999999999999,1.76
Africa,SYC,Seychelles,2017,99,48.42,56.261,341.84,0.8,0.01,NA,NA,116,NA,NA
Africa,TGO,Togo,2017,91,37.93,41.162,1908.69,0.5,0.11,0.04,0,106,0.26,1.939
Africa,UGA,Uganda,2017,79,35.78,23.196,2413.2,0.52,0.02,0,0.23,78.83,0.78,2.182
Europe,UKR,Ukraine,2017,86,52.06,69.246,159.02,0.75,0.31,0.05,NA,98.67,0.14,3.184
South America,URY,Uruguay,2017,96,54.36,95.24,0,0.8,0,NA,0.26,116,0.6200000000000001,1.709
Australia,PNG,Papua New Guinea,2017,62,35.17,13.102,3232.73,0.54,0,NA,0.02,78.17,NA,2.095
Europe,PRT,Portugal,2017,98,61.62,64.652,6.1,0.85,0,NA,0.07,17.33,0.75,1.258
Asia,SAU,Saudi Arabia,2017,96,54.29,83.622,1637.27,0.85,0,NA,0,80.67,0.82,2.474
North America,SLV,El Salvador,2017,85,44.97,71.275,0,0.67,0.4,4.63,0.01,83.17,0.67,2.239
Africa,SOM,Somalia,2017,46,20.27,44.391,6339.63,NA,6.76,2.66,6.16,NA,NA,3.387
Africa,SSD,South Sudan,2017,51,NA,19.346,3973.44,0.39,22.36,7.85,0.69,NA,NA,NA
